Stadt,Anzahl_Firmen,lat,lon
Köthen,14,0,0
Schönebeck (Elbe),10,0,0
Eisenberg (Thür.),2,0,0
Leipzig,1144,51.33540529,12.40998124
Aachen,26,0,0
Berlin,2051,52.52181866,13.40154862
Greifswald,11,0,0
Wien (Österreich),642,0,0
Slovakei),75,0,0
Den Haag (Niederlande),57,0,0
Lemgo,6,0,0
Dresden,348,51.04997052,13.75000281
Schussenried,2,0,0
Delft (Niederlande),4,0,0
Prag (Tschechien),210,0,0
später Leipzig,21,0,0
Krefeld,20,0,0
Lingen-Ems,2,0,0
Konstanz,19,0,0
Lübeck,34,0,0
München,407,0,0
Reutlingen,18,0,0
Rothenburg,5,0,0
Stuttgart,281,48.77997988,9.199996296
später Cuxhaven,2,0,0
Varel,3,0,0
Budapest (Ungarn),156,0,0
später Tailfingen,2,0,0
Garmisch,2,0,0
Glatz,4,0,0
Trier,20,0,0
später Pegau,2,0,0
Regensburg,27,49.02040448,12.12002478
Paderborn,15,0,0
Graz (Österreich),40,0,0
Hamburg,327,53.55002464,9.999999144
Meißen,8,0,0
Rostock,25,54.07038047,12.14999711
Themar,3,0,0
Olmütz (Olomouc),2,0,0
Polen),307,0,0
Brünn (Brno),2,0,0
Oerlikon-Zürich (Schweiz),2,0,0
Freiburg (Breisgau),2,0,0
Mexico D. F. (Mexico),2,0,0
Bonn,39,50.72045575,7.080022337
Berlin-Charlottenburg,2,0,0
später Heydebreck,2,0,0
Stockholm (Schweden),77,0,0
Neuenburg (Schweiz),3,0,0
Köln,141,0,0
Muskau,4,0,0
Amsterdam (Niederlande),149,0,0
Wolfenbüttel,9,0,0
Ludwigsburg,7,0,0
Melk an der Donau (Österreich),2,0,0
Leningrad (Sowjetunion),2,0,0
Göttingen,27,0,0
Danzig-Langfuhr,5,0,0
Marburg,14,0,0
Jena,33,50.93044293,11.58000606
Königsberg,39,0,0
Tharandt,3,0,0
Hannover,111,52.36697023,9.716657266
Potsdam,40,52.40040489,13.06999263
Halle (Saale),122,0,0
Finnland),13,0,0
Neustadt an der Weinstraße,2,0,0
Kassel,40,51.30000694,9.500029662
Brugg (Schweiz),3,0,0
Weinfelden (Schweiz),5,0,0
Bologna,2,44.50042198,11.34002071
Ravensburg,11,0,0
Hanau,9,0,0
Gulpen (Niederlande),2,0,0
Heerlen (Niederlande),6,0,0
Kerkrade (Niederlande),3,0,0
Vechta,7,0,0
Brilon,3,0,0
Burgstädt,6,0,0
Coburg,16,50.26660748,10.96660681
Neu-Ulm,3,0,0
Stolp,10,0,0
vormals Paul Albrechts Verlag Stolp,2,0,0
