Archivaliensignatur,Datierung von(Zahl),Datierung bis(Zahl),Datierung (Text),Klassifikationsgruppe,Aktentitel,Enthält-Vermerk,Umfang der Akte (Blattzahl),Sortierfeld (intern)
F 01436,19370101,19891231,1937 - 1989,13.02 Firmen B,"Buchheim, Ernst, Inhaber Fritz Buchheim, spätere Inhaberin Helga Piechocki geb. Buchheim, Buch- und Musikalienhandlung, Antiquariat, Köthen",,42 Bl.,"Buchheim, Ernst"
F 27223,19480101,19811231,1948 - 1981,13.04 Firmen D,"Dähne, Wilhelm, Inhaber Hermann Dähne später Emmi Dähne, Buchverkaufsstelle, Zeitschriften, Papierwaren, Schönebeck (Elbe)",,33 Bl.,"Dähne, Wilhelm"
F 32019,19620101,19841231,1962 - 1984,13.11 Firmen K,"Kirchberger, Hildegard, Papier- und Schreibwarenhandlung, Pressevertrieb, Eisenberg (Thür.)",,23 Bl.,"Kirchberger, Hildegard"
F 01404,19370101,19821231,1937 - 1982,13.05 Firmen E,"Eger, Paul, Inhaber Dr. Hans Eger und Heinrich Eger, Buchhandlung, Antiquariat, Musikalien- und Kunsthandlung, später Buchhandlung an der Thomaskirche, Leipzig",,87 Bl.,"Eger, Paul"
F 00001,19360101,19471231,1936 - 1947,13.01 Firmen A,"Aachener Verlags- & Druckerei- Gesellschaft GmbH, Aachen",,9 Bl.,Aachener Verlags- & Druckerei- Gesellschaft GmbH
F 00002,19370101,19461231,1937 - 1946,13.01 Firmen A,"Abel, August, Berlin",,13 Bl.,"Abel, August"
F 00003,19370101,19491231,"1937,1938, 1943 - 1949",13.01 Firmen A,"Abel, Louis Friedrich & Co., Berlin",,21 Bl.,"Abel, Louis Friedrich"
F 00004,19370101,19591231,1937 - 1959,13.01 Firmen A,"Abel, Julius, Buchdruckerei & Verlagsgesellschaft mbH, Greifswald",,39 Bl.,"Abel, Julius"
F 00005,19370101,19581231,1937 - 1958 (1983),13.01 Firmen A,"Abel & Müller, Jugendschriftenverlag, Leipzig",,36 Bl.,Abel & Müller
F 00006,19340101,19471231,1934 - 1947,13.01 Firmen A,"Abheiter, Josef, Wien (Österreich)",,49 Bl.,"Abheiter, Josef"
F 00007,19410101,19411231,1941,13.01 Firmen A,"Abrahamovits, Vilma, Buch- und Papierwarenhandlung, Bartfeld (Bardejov, Slovakei)",Enthält u. a.: Hinweise auf die Schließung der Firma als nichtarisches Unternehmen,7 Bl.,"Abrahamovits, Vilma"
F 00008,19340101,19421231,1934 - 1942,13.01 Firmen A,"Abrahams, Gebr., Inhaber Eduard und Minna Abrahams, Buchhandlung und Kommissionsgeschäft, Den Haag (Niederlande)",Enthält u. a.: Regelung der Judenfrage.- Streichung aus der Mitgliederliste des Börsenvereins.- Vertrauliche Mitteilung der Reichsschrifttumskammer an die Gauobmänner zu Abrahams jüdischer Herkunft,34 Bl.,"Abrahams, Eduard"
F 00009,19370101,19381231,1937 - 1938,13.01 Firmen A,"Abraxas-Verlag, Walter Steinecke, Lemgo",,5 Bl.,Abraxas-Verlag
F 00010,19370101,19571231,1937 - 1957,13.01 Firmen A,"Abrechnungs-Genossenschaft Deutscher Buchhändler eGmbH, Geschäftsführer Adolf Behnsen, Leipzig",,24 Bl.,Abrechnungs-Genossenschaft Deutscher Buchhändler eGmbH
F 00011,19370101,19691231,1937 - 1969,13.01 Firmen A,"Abshagen, Hans Friedrich, Kunstverlag, Dresden",,36 Bl.,"Abshagen, Hans Friedrich"
F 00012,19370101,19421231,1937 - 1942,13.01 Firmen A,"Abt, Rudolf, Buch-, Papier- & Schreibwarenhandlung, Buchdruckerei, Buchbinderei, Schussenried",,16 Bl.,"Abt, Rudolf"
F 00013,19320101,19431231,1932 - 1943,13.01 Firmen A,"Academia Boekhandel en Antiquariaat voor Techniek- Wetenschap-Kunst, Delft (Niederlande)",Enthält u. a.: Hinweise auf eine Arisierung der Firma 1941.,72 Bl.,Academia Boekhandel en Antiquariaat
F 00014,19370101,19371231,1937,13.01 Firmen A,"Accord Musikverlags GmbH, Prag (Tschechien)",,3 Bl.,Accord Musikverlags GmbH
F 00015,19370101,19781231,1937 - 1978,13.01 Firmen A,"Achtelstetters Versandbuchhandlung Margarete Kampfrad, Borsdorf bei Leipzig, später Leipzig",,48 Bl.,Achtelstetters Versandbuchhandlung
F 00016,19370101,19431231,1937 - 1943,13.01 Firmen A,"Johann van Acken, Verlag & Buchdruckerei, Krefeld",,12 Bl.,"Acken, Johann van "
F 00017,19370101,19491231,1937 - 1949,13.01 Firmen A,"Acken, R. van, Buchhandlung, Lingen-Ems",,25 Bl.,"Acken, R. van"
F 00018,19300101,19501231,1930 - 1950,13.01 Firmen A,"Acker-Verlag, Buch & Zeitschriftenverlag, Inhaber Hans Lesser, später ist der Inhaber die Deutsche Evangelische Buch- & Traktatgesellschaft, vertreten durch Hans Hilgenstock, Berlin",,52 Bl.,Acker-Verlag
F 00019,19290101,19441231,1929 - 1944,13.01 Firmen A,"Ackermann, Werner, Inhaber der Firma Ackermann'sche Buchhandlung, Berlin",Enthält u. a.: Hinweis auf Zerstörung der Ackermann'schen Buchhandlung durch Angriff auf Berlin 1943.,27 Bl.,"Ackermann, Werner"
F 00021,19370101,19491231,1937 - 1949,13.01 Firmen A,"Ackermann, Elisabeth, Prokuristin der Firma Ernst Ackermann, Buch- & Kunsthandlung, Inhaber Walter Ackermann, Konstanz",,12 Bl.,"Ackermann, Elisabeth"
F 00022,19360101,19491231,1936 - 1949,13.01 Firmen A,"Ackermann, Rudolf Franz Eduard, Inhaber der Firma Ackermanns Buchhandlung Eduard Ackermann, Lübeck",Enthält u. a.: Zerstörung der Ackermann Buchhandlung durch Angriff auf Lübeck 1942.- Bildung einer Kriegsbetriebsgemeinschaft zwischen Ackermanns Buchhandlung und Musikhaus Ernst Robert 1943.,23 Bl.,"Ackermann, Rudolf Franz Eduard"
F 00023,19370101,19501231,1937 - 1950,13.01 Firmen A,"Ackermann, Friedrich Adolf, Inhaber der Firma Friedrich Adolf Ackermanns Kunstverlag, München",,26 Bl.,"Ackermann, Friedrich Adolf"
F 00024,19360101,19501231,1936 - 1950,13.01 Firmen A,"Ackermann, Hans Jürgen, Prokurist der Firma Theodor Ackermann, Sortiment, Verlag & Antiquariat, München",,35 Bl. ,"Ackermann, Hans Jürgen"
F 00025,19370101,19491231,1937 - 1949,13.01 Firmen A,"Ackermann, Albertine, Inhaberin der Firma Ackermanns Buchladen, Reutlingen",,9 Bl.,"Ackermann, Albertine"
F 00026,19370101,19491231,1937 - 1949,13.01 Firmen A,"Ackermann's Buch- und Kunsthandlung Martin Pyczak, Rothenburg",,13 Bl.,Ackermanns Buch- und Kunsthandlung
F 00027,19370101,19501231,1937 - 1950,13.01 Firmen A,"Ackermann, Anna, Mitinhaberin der Firma A. Ackermann, Buch- & Zeitschriftenhandlung, Stuttgart",,8 Bl.,"Ackermann, Anna"
